Protein IDs	Protein Names	Gene Names	Protein Descriptions	Uniprot IDs	RefSeq protein IDs	Refseq mRNA ID	ENSEMBL ID	MGI ID	Protein length [amino acids]	Protein molecular weight [kDa]	Protein copy number experiment [molecules/cell]	Protein copy number replicate [molecules/cell]	Protein copy number average [molecules/cell]	mRNA copy number experiment [molecules/cell]	mRNA copy number replicate [molecules/cell]	mRNA copy number average [molecules/cell]	Protein half-life experiment [h]	Protein half-life replicate [h]	Protein half-life average [h]	mRNA half-life experiment [h]	mRNA half-life replicate [h]	mRNA half-life average [h]	transcription rate (vsr) experiment [molecules/(cell*h)]	transcription rate (vsr) replicate [molecules/(cell*h)]	transcription rate (vsr) average [molecules/(cell*h)]	translation rate constant (ksp) experiment [molecules/(mRNA*h)]	translation rate constant (ksp) replicate [molecules/(mRNA*h)]	translation rate constant (ksp) average [molecules/(mRNA*h)]
IPI00169734.3	Probable RNA-binding protein EIF1AD;Eukaryotic translation initiation factor 1A domain-containing protein	Eif1ad	Probable RNA-binding protein EIF1AD	Q3THJ3	NP_081512	NM_027236	ENSMUST00000025759	MGI:1917110	170	19.52	187540	57657.61	103986.1	38.81	23.95	30.48	8.21	8.14	8.18	7.82	9.72	8.72	4.28	2.16	3.04	524.48	255.56	366.11
IPI00331173.8	Lamin-B receptor;Integral nuclear envelope inner membrane protein	Lbr	Lamin-B receptor	Q3U9G9;Q811V7	NP_598576	NM_133815	ENSMUST00000005003	MGI:2138281	626	71.44	187384.07	122831.05	151712.17	16.8	15.29	16.02	60.22	70.76	65.28	7.31	9.69	8.42	1.95	1.38	1.64	405.77	253.48	320.71
IPI00653664.2;IPI00798544.1	"Enolase-phosphatase E1;2,3-diketo-5-methylthio-1-phosphopentane phosphatase;MASA homolog"	Enoph1;Masa	Isoform 1 of Enolase-phosphatase E1;Isoform 2 of Enolase-phosphatase E1	Q8BGB7-1;Q8BGB7;Q8BGB7-2	NP_001156507;NP_080697	NM_001163035	ENSMUST00000031268	MGI:1915120;MGI:1915120	257	28.6	187357.62	156527.52	171250.18	26.98	14.04	19.46	87.33	437.27	195.41	8.73	7.74	8.22	2.73	1.52	2.04	228.4	260.44	243.89
IPI00221741.1;	TIP41-like protein	Tiprl	TIP41-like protein	Q8BH58	NP_663488	NM_145513	ENSMUST00000043235	MGI:1915087	271	31.25	187153.27	117697.33	148416.44	6.1	4.81	5.42	49.76	80.24	63.19	10.95	11.58	11.26	0.52	0.38	0.45	1192.1	744.98	942.39
IPI00227808.3;IPI00187275.2;IPI00911127.1;IPI00661702.2;IPI00458140.4;IPI00406424.1;IPI00379353.2;IPI00911128.1	Protein CDV3;Carnitine deficiency-associated protein 3;Tyrosine-phosphorylated protein 36	Cdv3	Isoform 1 of Protein CDV3;Isoform 2 of Protein CDV3;carnitine deficiency-associated gene expressed in ventricle 3 isoform c	Q4VAA2-1;Q4VAA2;Q4VAA2-2	NP_787027;NP_780774;NP_001127898	NM_175833	ENSMUST00000035484;ENSMUST00000072249;ENSMUST00000116517	MGI:2448759;MGI:2448759	281	29.73	186905.11	272676.96	225753.66	53.24	45.33	49.13	56.44	55.48	55.96	7.51	6.31	6.89	6.06	5.8	5.93	130.4	205.03	163.51
IPI00222307.1;IPI00410800.1	Nuclear pore complex protein Nup93;Nucleoporin Nup93;93 kDa nucleoporin;CBP-interacting protein 4	Nup93;Cip4;Kiaa0095	Isoform 1 of Nuclear pore complex protein Nup93;Isoform 2 of Nuclear pore complex protein Nup93	Q8BJ71-1;Q8BJ71;Q3TFC8;Q8BJ71-2	NP_765998	NM_172410	ENSMUST00000079961;ENSMUST00000109547	MGI:1919055;MGI:1919055	819	93.28	186808.6	220104.49	202774.28	28.23	28.87	28.55	87.71	68.23	77.36	12.64	14.07	13.34	2.18	1.99	2.08	217.89	243.81	230.49
IPI00889924.1;IPI00135068.1	Timm44 protein;Mitochondrial import inner membrane translocase subunit TIM44	Timm44;Mimt44;Tim44	translocase of inner mitochondrial membrane 44 precursor;Mitochondrial import inner membrane translocase subunit TIM44	A2VCP9;Q2NLC5;Q8R3X4;O35857	NP_035722	NM_011592	ENSMUST00000003029	MGI:1343262;MGI:1343262	452	51.09	186787.59	182925.91	184846.66	23.01	23.76	23.38	231.53	131.93	174.77	6.35	7.36	6.84	3	2.68	2.83	226.54	207.74	216.94
IPI00153750.1;IPI00648685.1	"Nuclear inhibitor of protein phosphatase 1;Protein phosphatase 1 regulatory inhibitor subunit 8;Protein phosphatase 1, regulatory (Inhibitor) subunit 8"	Ppp1r8;Nipp1;RP23-464L12.2-005	"Nuclear inhibitor of protein phosphatase 1;Protein phosphatase 1, regulatory (Inhibitor) subunit 8"	Q8R3G1;A2ADR9;A2ADR8	NP_666266	NM_146154	ENSMUST00000030702;ENSMUST00000105919	MGI:2140494;MGI:2140494	351	38.53	186022.59	135128.56	158546.41	30.67	22.82	26.46	53.97	56.88	55.4	5.17	5.06	5.11	4.75	3.54	4.1	227.86	199.5	213.21
IPI00458155.2	Histone chaperone ASF1B;Anti-silencing function protein 1 homolog B	Asf1b	Histone chaperone ASF1B	Q9DAP7	NP_077146	NM_024184	ENSMUST00000005607	MGI:1914179	202	22.46	185906.24	96128.6	133682.11	22.77	19.33	20.98	9.55	7.91	8.69	7.18	6.32	6.74	2.69	2.47	2.58	790.11	538.09	652.03
IPI00133030.3;IPI00849485.1;IPI00606831.1	Protein transport protein Sec61 subunit beta	Sec61b	Protein transport protein Sec61 subunit beta	Q9CQS8;A2AJM8	NP_077133	NM_024171	ENSMUST00000065678	MGI:1913462	96	9.96	185578.78	673154.42	353444.73	89.98	115.13	101.78	33.99	45.37	39.27	13.7	15.7	14.67	6.58	7.35	6.95	93.53	216.82	142.4
IPI00226227.1	Active regulator of SIRT1;40S ribosomal protein S19-binding protein 1	Rps19bp1;Aros	Active regulator of SIRT1	Q8C6B9	NP_780318	NM_175109	ENSMUST00000052499	MGI:1913788	143	15.98	185527.32	73377.74	116677.23	57.07	48.71	52.73	9.15	9.4	9.27	7.89	7.58	7.73	6.25	5.36	5.79	324.97	142.67	215.32
IPI00649873.1	Mitochondrial import receptor subunit TOM5 homolog	Tomm5;Tom5	Isoform 1 of Mitochondrial import receptor subunit TOM5 homolog	B1AXP6-1;B1AXP6	NP_001093145	NM_001099675	ENSMUST00000107809;ENSMUST00000107810		51	6.04	185415.21	95353.83	132966.35	81.41	61.71	70.88	114.04	112.18	113.11	9.82	9.25	9.53	7.54	5.79	6.61	70.75	43.19	55.28
IPI00124248.1;IPI00117947.1	"Chloride channel regulator;Methylosome subunit pICln;Chloride conductance regulatory protein ICln;Chloride channel, nucleotide sensitive 1A;Chloride ion current inducer protein"	Clns1a;Icln;Clci;Clcni	"Chloride channel, nucleotide-sensitive, 1A, isoform CRA_b;Methylosome subunit pICln"	P97506;Q923F1;Q61189	NP_076160	NM_023671	ENSMUST00000026506	MGI:109638;MGI:109638	241	26.52	185234.18	187205.82	186217.39	47.24	48.19	47.71	39.84	41.15	40.49	8.4	12.16	10.11	4.92	3.68	4.26	165.67	149.89	157.58
IPI00468896.7;IPI00660556.1	Probable ATP-dependent RNA helicase DDX46;DEAD box protein 46	Ddx46;Kiaa0801	Isoform 1 of Probable ATP-dependent RNA helicase DDX46;Isoform 2 of Probable ATP-dependent RNA helicase DDX46	Q569Z5-1;Q569Z5;Q3UZ56;Q569Z5-2;Q05C73;Q3UUW9;Q9CVD6	NP_666087	NM_145975	ENSMUST00000091589;ENSMUST00000099479	MGI:1920895;MGI:1920895	1032	117.45	184738.27	84347.41	124828.66	19.33	18.71	19.02	66.49	49.51	57.38	12.97	28.6	19.26	1.47	0.83	1.11	338.64	161.74	234.03
IPI00461011.3	UPF0552 protein C15orf38 homolog		UPF0552 protein C15orf38 homolog	Q9D0A3	NP_081696	NM_027420	ENSMUST00000048731	MGI:1917670	226	25.19	184569.63	172467.08	178415.77	15.09	13.72	14.39	43.5	59.72	50.97	12.14	14.77	13.39	1.2	0.91	1.05	500.3	420.14	458.47
IPI00224070.2;IPI00404970.2	Rho GTPase activating protein 1;Rho GTPase-activating protein 1;Rho-type GTPase-activating protein 1	Arhgap1;RP23-12H6.1-001	Rho GTPase activating protein 1 isoform 1;Rho GTPase-activating protein 1	A2AGT9;Q8BQW4;Q5FWK3;Q8C5A0;Q91Z04	NP_001139374;NP_666236	NM_001145902	ENSMUST00000111331;ENSMUST00000070873;ENSMUST00000090614;ENSMUST00000111329;ENSMUST00000111330	MGI:2445003;MGI:2445003	479	54.44	184171.12	556166.31	320046.51	23.47	23.88	23.68	50.95	50.32	50.64	14.37	13.67	14.02	1.66	1.68	1.67	302.92	828.31	500.91
IPI00944715.1;IPI00123870.1	Smc1a protein;Structural maintenance of chromosomes protein 1A;SMC1alpha protein;Chromosome segregation protein SmcB;Sb1.8	Smc1a;Sb1.8;Smc1;Smc1l1;Smcb	structural maintenance of chromosomes 1A;Structural maintenance of chromosomes protein 1A	A0JLM6;A2AFQ5;Q6A0B0;Q7TNG4;Q9CU62	NP_062684	NM_019710	ENSMUST00000045312	MGI:1344345;MGI:1344345	1233	143.23	184169.28	92811.53	130740.32	39.98	35.57	37.71	40.57	58.8	48.84	11.76	28.62	18.35	3.25	1.58	2.27	193.61	87.88	130.44
IPI00139994.1;	Nuclear pore glycoprotein p62;62 kDa nucleoporin	Nup62	Nuclear pore glycoprotein p62	Q63850;Q3TFE2;Q3THR9;Q3U2X1;Q3UDG5;Q3UGJ7;Q5FWJ9	NP_444304	NM_053074	ENSMUST00000057195;ENSMUST00000107891	MGI:1351500	526	53.25	183855.73	194041.81	188880.12	40.69	42.99	41.82	43.73	40.1	41.88	4.36	4	4.17	7.3	8.2	7.74	182.78	174.24	178.46
IPI00137706.1;IPI00831110.1;IPI00886325.1;IPI00857173.1;IPI00652719.3;IPI00857592.1;IPI00880760.1	"55 kDa erythrocyte membrane protein;Membrane protein, palmitoylated 1;Membrane protein, palmitoylated"	Mpp1;RP23-62O13.2-003;RP23-62O13.2-009	"55 kDa erythrocyte membrane protein;Membrane protein, palmitoylated;Membrane protein, palmitoylated"	P70290;Q542P4;Q684Q6;A2AN84;B7ZCL9	NP_032647	NM_008621	ENSMUST00000033775;ENSMUST00000114091	MGI:105941;MGI:105941	466	52.23	183760.95	380939.51	264578.54	33.9	39.61	36.65	16.57	17.48	17.02	13.24	17.63	15.28	2.54	2.34	2.44	361.1	589.74	461.47
IPI00308882.4;IPI00930784.1	"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial;Complex I-75kD;NADH-ubiquinone oxidoreductase 75 kDa subunit"	Ndufs1	"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial;NADH dehydrogenase (ubiquinone) Fe-S protein 1 precursor"	Q91VD9;Q3TIU7;Q3UIQ2;Q3UQ73	NP_001153510;NP_001153511;NP_001153512;NP_663493	NM_001160038	ENSMUST00000027111	MGI:2443241;MGI:2443241	727	79.75	183541.15	169571.43	176418.07	20.97	18.43	19.66	42.45	47.97	45.13	11.08	16.26	13.42	1.78	1.15	1.43	361.19	333.62	347.13
IPI00622833.2;IPI00622606.1;IPI00408626.4;IPI00625441.3;IPI00473743.5;IPI00881225.1;IPI00882249.1;IPI00880888.1;IPI00880327.1	Tumor protein D52	Tpd52	Isoform 3 of Tumor protein D52;tumor protein D52 isoform 4;Isoform 2 of Tumor protein D52;tumor protein D52 isoform 1;Isoform 1 of Tumor protein D52;23 kDa protein;19 kDa protein;18 kDa protein;9 kDa protein	Q62393-3;Q62393;Q62393-2;Q62393-1	NP_001020434;NP_001020435;NP_033438;NP_001020432;NP_001020433	NM_001025263	ENSMUST00000091354;ENSMUST00000120143	MGI:107749;MGI:107749;MGI:107749	199	21.65	183373.6	306213.25	236962.92	17.27	24.95	20.76	79.97	63.19	71.08	15.76	13.88	14.79	1.15	1.73	1.41	357.95	402.4	379.53
IPI00169546.1;IPI00848841.1	"GDP-mannose 4,6 dehydratase;GDP-D-mannose dehydratase"	Gmds	"GDP-mannose 4,6 dehydratase"	Q8K0C9	NP_666153	NM_146041	ENSMUST00000041859	MGI:1891112	372	41.98	182892.96	206148.92	194173.08	19.45	14.86	17	172.55	NA	172.55	14.91	19.33	16.98	1.35	NA	1.35	273.49	NA	273.49
IPI00831051.1;IPI00831644.1;IPI00831557.1			28 kDa protein;22 kDa protein;19 kDa protein						254	28.03	182834.31	360331.52	256672.87	NA	NA	NA	123.31	71.32	93.78	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00421119.5;IPI00928541.1;IPI00662049.3	RNA-binding protein 25;RNA-binding motif protein 25	Rbm25	Isoform 1 of RNA-binding protein 25;Isoform 2 of RNA-binding protein 25	B2RY56-1;B2RY56;B2RY56-2;Q8BU35	NP_081625	NM_027349	ENSMUST00000010752	MGI:1914289;MGI:1914289	841	99.92	182741.71	75482.93	117447.35	22.01	23.9	22.94	51.47	62.42	56.68	4.84	12.57	7.8	3.6	1.78	2.53	316.73	103.89	181.4
IPI00126913.5;IPI00464208.3	ATPase family AAA domain-containing protein 3;AAA-ATPase TOB3	Atad3;Atad3a;Kiaa1273	Isoform 1 of ATPase family AAA domain-containing protein 3;Isoform 2 of ATPase family AAA domain-containing protein 3	Q925I1-1;Q925I1;A2AD89;Q3TA78;Q925I1-2	NP_849534	NM_179203	ENSMUST00000030903;ENSMUST00000105594	MGI:1919214;MGI:1919214	591	66.74	182721.81	89750.02	128059.69	NA	NA	NA	151.12	124.96	137.42	7.8	10.47	9.04	NA	NA	NA	NA	NA	NA
IPI00109206.1;IPI00463495.2;IPI00930820.1	Synaptojanin-2-binding protein;Activin receptor-interacting protein 2;Activin receptor-interacting protein 4;Mitochondrial outer membrane protein 25	Synj2bp;Arip2;Omp25	Isoform 1 of Synaptojanin-2-binding protein;Isoform 2 of Synaptojanin-2-binding protein;Isoform 3 of Synaptojanin-2-binding protein	Q9D6K5-1;Q9D6K5;Q9D6K5-2;Q9D6K5-3	NP_079568	NM_025292	ENSMUST00000019829;ENSMUST00000110339	MGI:1344347;MGI:1344347;MGI:1344347	145	15.81	182508.37	109542.18	141394.36	2.39	2.56	2.47	69.67	58.16	63.66	13.53	23.65	17.89	0.18	0.13	0.15	2674.57	1447.28	1967.45
IPI00317298.2;IPI00457775.1	SNW domain-containing protein 1;Nuclear protein SkiP;Ski-interacting protein	Snw1;Skiip	SNW domain-containing protein 1	Q9CSN1;Q3TM37;Q9CV75	NP_079783	NM_025507	ENSMUST00000021428	MGI:1913604	536	61.48	182279.7	89169.98	127490.69	24.47	31.74	27.87	16.73	15.65	16.18	6.87	10.93	8.67	2.99	2.62	2.8	491.23	184.77	301.27
IPI00828223.1;IPI00222977.1;IPI00649821.1	Signal recognition particle 68;Signal recognition particle 68 kDa protein	Srp68;RP23-174D24.5-001;mCG_6849;RP23-174D24.5-002	Signal recognition particle 68;Signal recognition particle 68 kDa protein;Signal recognition particle 68	A2AAN1;Q8BMA6;A2AAN2;Q8K258	NP_666144	NM_146032	ENSMUST00000021133;ENSMUST00000106425	MGI:1917447;MGI:1917447;MGI:1917447	625	70.57	181995.42	136172.06	157425.19	NA	NA	NA	74.34	186.09	117.62	7.2	9.41	8.23	NA	NA	NA	NA	NA	NA
IPI00110856.2;IPI00621537.2;IPI00227815.1	Ribosomal RNA processing protein 1 homolog A;RRP1-like protein;Novel nuclear protein 1;Nucleolar protein Nop52	Rrp1;Nnp1	Isoform 1 of Ribosomal RNA processing protein 1 homolog A;Isoform 2 of Ribosomal RNA processing protein 1 homolog A;Isoform 3 of Ribosomal RNA processing protein 1 homolog A	P56183-1;P56183;Q05CN2;P56183-2;Q05DT3;P56183-3	NP_035055	NM_010925	ENSMUST00000062678;ENSMUST00000092345;ENSMUST00000105386	MGI:1203500;MGI:1203500;MGI:1203500	494	54.78	181742.53	99591.94	134536.58	92.41	71.87	81.49	13.35	15.01	14.15	10.23	22.37	15.13	8.3	3.67	5.52	150.56	94.06	119.01
IPI00229397.1;IPI00857414.1;IPI00850689.1;IPI00857593.1	Structural maintenance of chromosomes protein 4;Chromosome-associated polypeptide C;XCAP-C homolog;Putative uncharacterized protein	Smc4;Capc;Smc4l1	Structural maintenance of chromosomes protein 4;Smc4 protein;similar to SMC4 protein	Q8CG47;Q3UZJ7;Q3UR81;Q6P7V9	NP_598547;XP_001472819	NM_133786	ENSMUST00000042901;ENSMUST00000107803	MGI:1917349;MGI:1917349	1286	146.89	181695.58	70157.22	112903.75	28.9	20.02	24.05	46.57	51.08	48.77	6.61	12.08	8.94	3.64	1.54	2.37	249.47	123.84	175.77
IPI00170093.3	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial;NADH-ubiquinone oxidoreductase 23 kDa subunit;Complex I-23kD"	Ndufs8	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"	Q8K3J1;Q3UY05;Q5M9P5;Q8VC72	NP_659119	NM_144870	ENSMUST00000075092	MGI:2385079	212	24.04	181686.7	175521.37	178577.43	47.72	34.29	40.45	39.07	49.62	44.03	13.6	15.07	14.31	3.51	2.25	2.81	162.61	183.11	172.56
IPI00112963.1	Catenin alpha-1;102 kDa cadherin-associated protein;CAP102;Alpha E-catenin	Ctnna1;Catna1	Catenin alpha-1	P26231;Q3TGQ3;Q545R0;Q6NV50	NP_033948	NM_009818	ENSMUST00000042345	MGI:88274	906	100.11	181186.86	242456.24	209594.57	62.24	63.44	62.84	8.9	9.79	9.34	13.76	18.88	16.12	4.54	3.59	4.04	298.11	352.75	324.28
IPI00330406.2			DEAD (Asp-Glu-Ala-Asp) box polypeptide 23		NP_001074450	NM_001080981			819	95.49	180870.1	137437.8	157665.43	NA	NA	NA	33.09	30.69	31.86	8.33	13.29	10.52	NA	NA	NA	NA	NA	NA
IPI00132705.1	"Myosin regulatory light chain 12B;Myosin regulatory light chain MRLC2;Myosin regulatory light chain 2-B, smooth muscle isoform;Myosin regulatory light chain 20 kDa"	Myl12b;Mrlc2;Mylc2b	Myosin regulatory light chain 12B	Q3THE2	NP_075891	NM_023402	ENSMUST00000038446	MGI:107494	172	19.78	179940.85	606376.95	330321.03	69.94	59.14	64.31	71.75	42.24	55.05	11.37	14.05	12.64	5.82	4.07	4.87	89.15	391.54	186.83
IPI00420832.1	Mps one binder kinase activator-like 3;Preimplantation protein 3;Mob1 homolog 3;Class II mMOB1	Mobkl3;Mob3;Prei3	Mps one binder kinase activator-like 3	Q6PEB6;Q3UGM5	NP_079559	NM_025283	ENSMUST00000027122	MGI:104899	225	26.03	179833.55	90791.37	127778.46	10.52	10.24	10.38	74.04	74.41	74.22	6.97	8.42	7.66	1.27	1.03	1.15	585.12	275.2	401.28
IPI00470138.4;IPI00894696.1;IPI00894577.1;IPI00894756.1;IPI00895380.1	Leucine-rich repeat-containing protein 40	Lrrc40	Leucine-rich repeat-containing protein 40	Q9CRC8;Q78KN5	NP_077156	NM_024194	ENSMUST00000072080	MGI:1914394	602	68.08	179577.97	147533.36	162768.98	NA	NA	NA	47.64	59.28	53.14	12.51	11.29	11.89	NA	NA	NA	NA	NA	NA
IPI00128256.1;IPI00919208.1	U3 small nucleolar RNA-interacting protein 2;U3 small nucleolar ribonucleoprotein-associated 55 kDa protein;RRP9 homolog	Rrp9;Rnu3ip2;U3-55k	U3 small nucleolar RNA-interacting protein 2	Q91WM3	NP_663595	NM_145620	ENSMUST00000047721	MGI:2384313	475	52.11	179061.11	55971.64	100111.66	44.52	29.51	36.24	67.59	59.87	63.61	11.63	11.72	11.67	3.65	2.31	2.9	141.78	63.26	94.7
IPI00311509.1	Aladin;Adracalin	Aaas	Aladin	P58742;Q3TEP0;Q8BU75;Q8R3F7	NP_700465	NM_153416	ENSMUST00000041208	MGI:2443767	546	59.43	178755.46	175728.88	177235.71	NA	NA	NA	28.55	57.89	40.65	9.74	11.93	10.78	NA	NA	NA	NA	NA	NA
IPI00653794.2;IPI00310972.4;IPI00652262.1	Putative uncharacterized protein	Rap1gds1	"RAP1, GTP-GDP dissociation stimulator 1 isoform a;RAP1, GTP-GDP dissociation stimulator 1 isoform b"	Q3TA69;Q3TLU4;Q3TPS9;Q3TU36;Q8BKH0	NP_001035780;NP_663519	NM_001040690	ENSMUST00000098574;ENSMUST00000029796	MGI:2385189;MGI:2385189	607	66.08	178706.56	178048.31	178377.13	25.67	24.15	24.9	73.43	61.82	67.37	11.6	12.57	12.07	2.11	1.8	1.95	239.72	243.33	241.52
IPI00125662.2;IPI00830923.1;IPI00515361.1;IPI00830298.1;IPI00830822.1	SWI/SNF complex subunit SMARCC1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 1;SWI/SNF complex 155 kDa subunit;BRG1-associated factor 155;SWI3-related protein;Putative uncharacterized protein	Smarcc1;Baf155;Srg3	Isoform 1 of SWI/SNF complex subunit SMARCC1;Putative uncharacterized protein;Isoform 2 of SWI/SNF complex subunit SMARCC1;107 kDa protein;Putative uncharacterized protein	P97496-1;P97496;Q3UMX0;Q3UPK0;Q3UNN4;P97496-2;Q3UZD0	NP_033237	NM_009211	ENSMUST00000088716;ENSMUST00000035057;ENSMUST00000111971;ENSMUST00000111966	MGI:1203524;MGI:1203524;MGI:1203524;MGI:1203524	1104	122.89	178551.66	94681.36	130021.2	30.51	31.53	31.02	26.69	37.54	31.65	13.64	16.24	14.89	2.24	1.97	2.1	297.8	120.87	189.72
IPI00312752.3;IPI00648567.1;IPI00331110.3;IPI00648859.1;IPI00875665.1;IPI00885527.1;IPI00649078.1	Endophilin-A2;Endophilin-2;SH3 domain-containing GRB2-like protein 1;SH3 domain protein 2B;SH3p8	Sh3gl1;Sh3d2b	Endophilin-A2	Q62419;Q3TJB4;Q3TRJ7;Q3U3C4	NP_038692	NM_013664	ENSMUST00000003268	MGI:700010	368	41.52	178274.05	184484.02	181352.46	20.61	24.88	22.65	38.58	36.85	37.71	7.06	6.75	6.9	2.46	3.01	2.72	369.75	299.15	332.58
IPI00139168.2	Putative uncharacterized protein	Parp1	Putative uncharacterized protein	Q3TF18;Q3TIV3;Q3TM68;Q3TX36;Q3U868;Q3UJ03;Q3UX06;Q921K2	NP_031441	NM_007415	ENSMUST00000027777	MGI:1340806	1014	112.71	178212.72	198074.83	187881.49	38.53	34.72	36.57	57.39	103	76.88	16.46	20.45	18.35	2.5	1.87	2.16	171.67	163.25	167.41
IPI00652428.1;IPI00119066.2;IPI00895276.1;IPI00626696.2	Heat shock 70 kDa protein 14;NST-1;hsr.1	Hspa14;Hsp70-4	Isoform 2 of Heat shock 70 kDa protein 14;Isoform 1 of Heat shock 70 kDa protein 14	Q99M31-2;Q99M31;Q99M31-1	NP_056580	NM_015765	ENSMUST00000027961	MGI:1354164;MGI:1354164	515	55.88	178138.21	147379.8	162030.78	29.08	27.73	28.39	88.16	70.33	78.74	7.97	9.41	8.66	3.16	2.57	2.85	200.87	167.94	183.67
IPI00331605.5;IPI00858018.1	Protein Noxp20;Nervous system over-expressed protein 20;Protein FAM114A1	Fam114a1;Noxp20	Protein Noxp20	Q9D281	NP_080943	NM_026667	ENSMUST00000031080	MGI:1915553	569	61.01	177932.38	71404.31	112717.08	7.11	12.37	9.38	229.51	394.02	300.72	11.6	23.38	16.47	0.58	0.62	0.6	701.8	136.68	309.71
IPI00760003.1;IPI00122559.3;IPI00473546.4;IPI00760078.1;IPI00759913.1;IPI00760053.1;IPI00759916.1;IPI00759952.1;IPI00407517.2;IPI00760076.1;IPI00759936.1;IPI00759972.1;IPI00759887.1;IPI00759943.1;IPI00760049.1;IPI00759851.1;IPI00462829.3;IPI00330211.5;IPI00749665.2	Kinectin	Ktn1	Isoform 5 of Kinectin;Isoform 1 of Kinectin;Isoform 6 of Kinectin;Isoform 9 of Kinectin;Isoform 11 of Kinectin;Isoform 10 of Kinectin;Isoform 15 of Kinectin;Isoform 3 of Kinectin;Isoform 7 of Kinectin;Isoform 13 of Kinectin;Isoform 16 of Kinectin;Isoform 4	Q61595-5;Q61595;Q61595-1;Q61595-6;Q61595-9;Q61595-11;Q61595-10;Q61595-15;Q61595-3;Q61595-7;Q61595-13;Q61595-16;Q61595-4;Q61595-14;Q61595-2;Q61595-8;Q61595-12	NP_032503	NM_008477	ENSMUST00000022391;ENSMUST00000070762;ENSMUST00000089901;ENSMUST00000111743;ENSMUST00000111744;ENSMUST00000111745	MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153	1275	146.48	177899.09	63935.6	106649.36	14.98	15.24	15.11	47.78	68.13	57.05	8.4	20.25	13.04	1.56	0.83	1.14	467.78	134.46	250.79
IPI00943394.1;IPI00110315.1;IPI00881273.1;IPI00880916.1	"Putative uncharacterized protein;RNA terminal phosphate cyclase domain 1, isoform CRA_b;RNA 3'-terminal phosphate cyclase;RNA terminal phosphate cyclase domain-containing protein 1"	Rtcd1;mCG_2349;Rpc1	RNA terminal phosphate cyclase domain 1;RNA 3'-terminal phosphate cyclase	Q3TVV2;Q9D7H3;Q3TIJ4;Q3UAE6;Q5BLJ4;Q91YL8	NP_079793	NM_025517	ENSMUST00000000348	MGI:1913618;MGI:1913618	366	39.25	177868.49	201313.24	189228.12	41.28	28.34	34.2	89.18	91.86	90.51	9.18	9.81	9.49	4.02	2.54	3.2	141.05	208.25	171.39
IPI00134961.1;IPI00895545.1	"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"	Acadm	"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"	P45952;Q3V2I9;Q8BJT5;Q91WS8	NP_031408	NM_007382	ENSMUST00000072697	MGI:87867	421	46.48	177862.3	241107.35	207084.3	NA	NA	NA	957.25	NA	957.25	8.75	15.02	11.46	NA	NA	NA	NA	NA	NA
IPI00113194.1;IPI00660051.1;IPI00850582.1	Cyclin-dependent kinases regulatory subunit 2	Cks2	Cyclin-dependent kinases regulatory subunit 2;similar to Cyclin-dependent kinases regulatory subunit 2;similar to Cyclin-dependent kinases regulatory subunit 2	P56390;Q545R9	NP_079691;XP_001472917;XP_001472937;XP_001475915;XP_001472901	NM_025415	ENSMUST00000075853	MGI:1913447	79	9.87	177741.63	58369.08	101855.86	38.95	38.75	38.85	10.36	9.85	10.1	5.55	5.63	5.59	5.68	5.47	5.57	414.83	137.17	238.55
IPI00761408.2;IPI00319518.4	"Lon protease homolog, mitochondrial;Lon protease-like protein;Mitochondrial ATP-dependent protease Lon;Serine protease 15;Lon protease homolog"	Lonp1;Prss15	"Lon protease homolog, mitochondrial;Lon protease homolog"	Q8CGK3;Q56A16;Q3V2D0	NP_083058	NM_028782	ENSMUST00000047226;ENSMUST00000097301	MGI:1921392;MGI:1921392	949	105.84	177582.24	143501.4	159634.9	49.77	33.14	40.61	328.03	923.4	550.37	12.84	18.17	15.28	3.8	1.92	2.7	NA	98.1	98.1
IPI00109415.1	Serine/threonine-protein phosphatase 4 catalytic subunit;Protein phosphatase X	Ppp4c;Ppp4;Ppx	Serine/threonine-protein phosphatase 4 catalytic subunit	P97470;Q3UNF2	NP_062648	NM_019674	ENSMUST00000032936	MGI:1891763	307	35.08	176693.01	231163.49	202101.4	44.2	47.98	46.06	41.96	44.86	43.39	8.3	7.94	8.12	4.65	5.08	4.86	165.38	178.65	171.89
